feature,importance
numeric__built_up_area,0.6664240290123318
categorical__property_type_house,0.0765433616981174
categorical__property_type_flat,0.036540012820708026
numeric__bathroom,0.03272640105866435
numeric__bedRoom,0.0119510682482359
numeric__servant room,0.011924888692247334
categorical__sector_sector 65,0.00889081031723195
categorical__sector_sector 26,0.007562786417943224
categorical__sector_sector 54,0.005122714817440537
categorical__sector_manesar,0.004566754280752228
categorical__sector_sector 43,0.004392123808209967
categorical__sector_sector 92,0.003995016022747015
categorical__furnishing_type_0.0,0.0037572810450525514
categorical__sector_sector 25,0.003623020528379463
categorical__sector_sector 95,0.0034770919680222165
categorical__sector_sector 53,0.0032527728265768865
categorical__agePossession_Moderately Old,0.0028659132705960684
categorical__sector_sector 28,0.0028553480929284
categorical__sector_sector 12,0.0027933715085607493
categorical__sector_sector 105,0.0027792481710436022
categorical__sector_sector 61,0.0026132536818368316
categorical__balcony_3,0.0025930742244658356
categorical__sector_sector 50,0.0025841663667732443
categorical__agePossession_New Property,0.002558968651380785
categorical__balcony_2,0.0024720888504833143
categorical__balcony_3+,0.0024658538089677483
categorical__agePossession_Relatively New,0.002421464544200199
categorical__balcony_1,0.00228550921650702
categorical__sector_sector 108,0.0022702969294154367
categorical__sector_sector 70a,0.0022417766497070464
categorical__sector_sector 66,0.0022097358872159253
categorical__luxury_category_Low,0.002168382936947587
categorical__floor_category_High Floor,0.002157536821408613
categorical__sector_sector 4,0.0020792058107864187
categorical__luxury_category_High,0.0020608646643532
numeric__store room,0.0020033672383810946
categorical__floor_category_Low Floor,0.0019974546780597803
categorical__sector_sector 90,0.001974332939645748
categorical__balcony_0,0.001871509731439363
categorical__furnishing_type_2.0,0.0018693927129778817
categorical__agePossession_Old Property,0.0018624945830949767
categorical__sector_sector 67,0.0018279464195153112
categorical__luxury_category_Medium,0.0017398001765498493
categorical__furnishing_type_1.0,0.0017228807027643395
categorical__floor_category_Mid Floor,0.0017198242961188844
categorical__sector_sector 24,0.0017029096615005053
categorical__sector_sector 113,0.0016631720762024771
categorical__sector_sector 102,0.0015679059880949757
categorical__sector_sector 22,0.001488314531489233
categorical__sector_sohna road,0.0014462946797973014
categorical__sector_sector 85,0.0014406450287725902
categorical__sector_sector 103,0.0013937834821459182
categorical__sector_sector 11,0.001387194852194698
categorical__sector_sector 3,0.0013705414414474349
categorical__sector_sector 62,0.0013385992242377696
categorical__agePossession_Under Construction,0.0013380801551491522
categorical__sector_sector 86,0.0012950756657730347
categorical__sector_sector 59,0.0012424007323645287
categorical__sector_sector 109,0.0011074106988815517
categorical__sector_sector 84,0.0010632128334271257
categorical__sector_sector 91,0.0010580531931486273
categorical__sector_sector 48,0.001055147732981642
categorical__sector_sector 63a,0.0009880909368861106
categorical__sector_sector 37,0.0009589556592206596
categorical__sector_sector 33,0.0009473991696360876
categorical__sector_sector 9,0.000911125070514249
categorical__sector_sector 39,0.0008730193423955172
categorical__sector_sector 63,0.0008603790279825414
categorical__sector_sector 81,0.0008568529464554358
categorical__sector_sector 7,0.0008495295698050574
categorical__sector_sector 104,0.0008295164556701101
categorical__sector_sector 72,0.0007956663688874533
categorical__sector_sector 60,0.0007444198325907458
categorical__sector_sector 2,0.0007036545044636904
categorical__sector_sector 49,0.0006942236082303858
categorical__sector_sector 1,0.0006734810704971543
categorical__sector_sector 83,0.0006369018143111194
categorical__sector_sector 74,0.0006212780334999251
categorical__sector_sector 6,0.0006061040660394593
categorical__sector_sector 67a,0.0006017952217722612
categorical__sector_sector 57,0.0005661332263003509
categorical__sector_sector 112,0.0005596011622191247
categorical__sector_sector 82,0.000555385102100377
categorical__sector_sector 58,0.0005087992027988502
categorical__sector_sector 5,0.0005021894434541324
categorical__sector_sector 56,0.0004353696182854887
categorical__sector_sector 78,0.000434863661863635
categorical__sector_sector 37d,0.0004310242243771816
categorical__sector_sector 40,0.0004290251341244616
categorical__sector_sector 45,0.0004213376581279203
categorical__sector_sector 106,0.00040638367929646984
categorical__sector_sector 23,0.000391351538233522
categorical__sector_sector 55,0.00038428556868586126
categorical__sector_sector 36,0.00037816652105509944
categorical__sector_sector 31,0.00037604633933787263
categorical__sector_sector 69,0.00035644846530833357
categorical__sector_sector 79,0.00035383445252777315
categorical__sector_sector 89,0.0003276570118726341
categorical__sector_dwarka expressway,0.00032532137267616065
categorical__sector_sector 111,0.00031250568378584373
categorical__sector_sector 38,0.0003084994929541374
categorical__sector_sector 14,0.00028042263796183495
categorical__sector_sector 10,0.00027706866017422415
categorical__sector_sector 82a,0.0002657072700176931
categorical__sector_sector 70,0.0002506349418752757
categorical__sector_sector 71,0.0002469198266323356
categorical__sector_sector 68,0.0002318718624311553
categorical__sector_sector 47,0.00022858774310435435
categorical__sector_gwal pahari,0.00022693269213183042
categorical__sector_sector 99,0.0002256203012415105
categorical__sector_sector 41,0.00020299975213453864
